Hydrology 2,Water Chemistry,Treatment,Rep,Depth,Date,ClppmmgL,SO4mgL,NH4mgL,NO3NmgL,PO4mgL,NPOCmg/L,TNmgL,BrmgL,DIN (mg/L),DON (mg/L)
Drought,DI,AD,5,15cm,11/30/10,1.74613837,7.88861095,0.0025,9.97165008,0.0025,31.56,9.734,0.005,9.97415008,-0.2401501
Drought,DI,AD,1,25cm,8/24/10,3.01645539,11.3857328,0.439,0.04661378,0.00692376,43.38,1.538,0.08845453,0.48561378,1.05238622
Drought,DI,AD,2,25cm,8/24/10,10.649875,40.3968226,0.832,0.38501972,0.00597144,103.7,5.009,0.11336011,1.21701972,3.79198028
Drought,DI,AD,3,25cm,8/24/10,5.89295025,30.9686789,0.192,18.3547549,0.0025,102.3,3.36986,0.005,18.5467549,-15.176895
Drought,DI,AD,4,25cm,8/24/10,2.73849288,2.16067024,0.131,0.04030882,0.0025,54.89,2.067713,0.08465933,0.17130882,1.89640418
Drought,DI,AD,5,25cm,8/24/10,4.93324603,5.12807689,0.113,0.05418583,0.0025,60.61,2.504303,0.08867299,0.16718583,2.33711717
Drought,DI,AD,1,25cm,8/31/10,3.21031803,8.27891954,0.73291682,0.02448585,0.0025,51.16,1.906937,0.12561562,0.75740267,1.14953433
Drought,DI,AD,2,25cm,8/31/10,4.13464544,2.32466784,0.84775329,0.02283769,0.00542919,72,2.441933,0.12632658,0.87059098,1.57134202
Drought,DI,AD,3,25cm,8/31/10,7.0729441,31.5843966,0.00635982,25.5164213,0.0025,31.25,29.94641,0.005,25.5227811,4.42362888
Drought,DI,AD,4,25cm,8/31/10,2.46670312,1.16883147,0.22830952,0.03465538,0.0025,48.73,1.183445,0.10206203,0.2629649,0.9204801
Drought,DI,AD,5,25cm,8/31/10,3.95926068,0.85793049,0.17194614,0.01560042,0.0025,47.87,1.000493,0.10778087,0.18754656,0.81294644
Drought,DI,AD,1,25cm,9/7/10,4.51158461,6.43476943,0.853938,0.02187672,0.0025,56.34,3.727,0.11063249,0.87581472,2.85118528
Drought,DI,AD,2,25cm,9/7/10,4.43275966,1.03068021,0.961623,0.00992517,0.0025,70.15,3.113,0.11145161,0.97154817,2.14145183
Drought,DI,AD,3,25cm,9/7/10,7.67096238,35.5207728,,33.9911125,,34.8,45.64,0.005,,
Drought,DI,AD,4,25cm,9/7/10,4.36775936,1.60143574,0.26141352,0.0134214,0.00738006,55.57,2.021,0.06294241,0.27483492,1.74616508
Drought,DI,AD,5,25cm,9/7/10,4.76711103,0.70239246,0.20338672,0.01013139,0.0025,48.42,1.776,0.06411002,0.21351811,1.56248189
Drought,DI,AD,1,25cm,9/14/10,1.2753442,4.18716979,0.08407525,2.42249545,0.0025,,,0.10841693,2.5065707,
Drought,DI,AD,3,25cm,9/14/10,7.07101368,38.6616657,0.02908806,62.0487968,0.0025,28.71,62.36,0.005,62.0778849,0.28211511
Drought,DI,AD,4,25cm,9/14/10,1.14430993,2.38391574,0.145968,0.15042747,0.0025,37.73,1.14,0.1002,0.29639547,0.84360453
Drought,DI,AD,5,25cm,9/14/10,4.7936255,1.44587607,0.29011032,0.01499442,0.0025,46.03,1.572,0.10338004,0.30510474,1.26689526
Drought,DI,AD,1,25cm,9/21/10,2.42264772,2.41556256,0.24349218,0.19835216,0.0025,26.33435,1.163756,0.11695138,0.44184435,0.72191165
Drought,DI,AD,2,25cm,9/21/10,2.86632465,1.42204557,,0.01970176,,66.24695,2.637882,0.13131879,,
Drought,DI,AD,4,25cm,9/21/10,2.31117064,0.8805775,0.31046011,0.02103767,0.0025,34.8383,1.05248,0.12938399,0.33149778,0.72098222
Drought,DI,AD,5,25cm,9/21/10,2.14130956,3.43967936,0.41584033,1.86759893,0.0025,38.518725,3.377682,0.005,2.28343926,1.09424274
Drought,DI,AD,1,25cm,10/5/10,0.99086641,2.17647254,0.44777028,0.01208778,0.00570104,67.26,2.976,0.005,0.45985806,2.51614194
Drought,DI,AD,2,25cm,10/5/10,2.08805573,0.26517838,1.11295461,0.00225197,0.00860834,59.09,2.743,0.07855286,1.11520659,1.62779341
Drought,DI,AD,4,25cm,10/5/10,2.71519093,0.59339955,0.27949431,0.01440922,0.00388269,36.67,1.356,0.02091611,0.29390353,1.06209647
Drought,DI,AD,5,25cm,10/5/10,3.95998629,5.24061163,,4.28973469,,36.78,6.132,0.005,,
Drought,DI,AD,1,25cm,10/19/10,0.7290921,3.57290047,0.01186606,0.27371677,0.00302724,23.21,1.213212,0.020489,0.28558283,0.92762917
Drought,DI,AD,4,25cm,10/19/10,0.71806677,1.41464986,0.09928577,0.29238993,0.00258889,29.34,1.444194,0.01405138,0.3916757,1.0525183
Drought,DI,AD,5,25cm,10/19/10,3.51102651,3.19991279,0.16169555,0.29430525,0.00549794,36.02,1.87581,0.005,0.4560008,1.4198092
Drought,DI,AD,1,25cm,11/2/10,1.04277809,2.70585212,0.30657151,0.15138074,0.00629609,44.16,1.525,0.0647175,0.45795225,1.06704775
Drought,DI,AD,4,25cm,11/2/10,1.04277809,0.41174332,0.28598358,0.00179458,0.00883395,33.1,1.245,0.005,0.28777815,0.95722185
Drought,DI,AD,5,25cm,11/2/10,1.48341788,2.59725816,,0.0005,,21.64,2.072,0.005,,
Drought,DI,AD,1,25cm,11/16/10,0.90118769,1.97227353,0.29176691,0.08239783,0.00539071,44.33289,1.70531628,0.01670157,0.37416474,1.33115154
Drought,DI,AD,4,25cm,11/16/10,1.44311006,0.85525729,0.28929179,0.00358392,0.0025,37.16741,1.3316933,0.02446767,0.29287571,1.03881759
Drought,DI,AD,5,25cm,11/16/10,1.60768947,3.76378839,0.59834289,8.61142061,0.00493185,24.831156,9.958,0.04116771,9.2097635,0.7482365
Drought,DI,AD,1,25cm,11/30/10,0.54657575,2.34856575,0.0025,1.04284739,0.0025,14.17,1.802,0.005,1.04534739,0.75665261
Drought,DI,AD,4,25cm,11/30/10,0.54881448,1.13686524,0.151437,1.25619719,0.0025,14.85,2.179,0.005,1.40763419,0.77136581
Drought,DI,AD,5,25cm,11/30/10,3.69922855,2.67639769,0.62692094,2.94512333,0.0025,25.01,4.334,0.005,3.57204426,0.76195574
Drought,DI,AD,2,5cm,8/24/10,17.901363,40.0156512,1.07,0.48067519,0.0025,114.3,5.38,0.11365976,1.55067519,3.82932481
Drought,DI,AD,3,5cm,8/24/10,7.41889873,46.0322032,0.0025,71.8100831,0.0158592,58.51,82.03,0.005,71.8125831,10.2174169
Drought,DI,AD,4,5cm,8/24/10,6.86382302,16.9892328,1.05,0.05135483,0.00626904,50.46,1.369169,0.1299218,1.10135483,0.26781417
Drought,DI,AD,5,5cm,8/24/10,5.44773507,13.772075,0.456,0.08051731,0.0025,56.67,102.455,0.07987312,0.53651731,101.918483
Drought,DI,AD,1,5cm,8/31/10,8.30162871,36.007951,,0.51404922,,,,0.21261231,,
Drought,DI,AD,2,5cm,8/31/10,17.2589079,33.7752494,1.52939257,0.02541319,0.0025,121.8,5.022665,0.2564982,1.55480576,3.46785924
Drought,DI,AD,3,5cm,8/31/10,7.03045681,39.4257062,0.05945999,72.7735274,0.0025,45.46,92.3372,0.005,72.8329874,19.5042126
Drought,DI,AD,4,5cm,8/31/10,7.21930494,9.9561663,1.44368399,0.28335305,0.00959828,130.7,4.871591,0.21734642,1.72703704,3.14455396
Drought,DI,AD,5,5cm,8/31/10,8.70111034,13.4807599,1.14184761,0.01559179,0.0025,122.5,4.667156,0.19662114,1.1574394,3.5097166
Drought,DI,AD,2,5cm,9/7/10,12.6056265,26.2882633,1.210707,0.05368819,0.0025,102.1,5.149,0.05088463,1.26439519,3.88460481
Drought,DI,AD,3,5cm,9/7/10,8.39739571,43.2655987,0.02299438,79.3593839,0.0025,48.59,106,0.005,79.3823782,26.6176218
Drought,DI,AD,4,5cm,9/7/10,9.85274742,15.3409035,1.370668,0.08795083,0.0025,98.9,4.449,0.07040219,1.45861883,2.99038117
Drought,DI,AD,5,5cm,9/7/10,9.64572978,10.5872555,1.295628,0.01374496,0.0025,131.2,5.896,0.19946454,1.30937296,4.58662704
Drought,DI,AD,2,5cm,9/14/10,9.70136333,19.407589,0.42871662,1.66453986,0.0025,74.17,4.341,0.10688262,2.09325648,2.24774352
Drought,DI,AD,3,5cm,9/14/10,10.9382507,46.6547394,,129.919206,,83.36,164.6,0.005,,
Drought,DI,AD,4,5cm,9/14/10,2.08234907,11.195373,0.37538062,3.01332126,0.0025,91.88,5.376,0.005,3.38870188,1.98729812
Drought,DI,AD,5,5cm,9/14/10,10.5564105,8.50676471,1.083048,0.04355004,0.0025,75.26,3.342,0.09990785,1.12659804,2.21540196
Drought,DI,AD,2,5cm,9/21/10,7.90928123,10.068581,0.1143366,0.18793569,0.0025,79.9379,2.410272,0.11619044,0.30227229,2.10799971
Drought,DI,AD,5,5cm,9/21/10,5.50312826,12.8308368,,23.5897306,,42.70028,22.764912,0.11358,,
Drought,DI,AD,2,5cm,10/5/10,5.79598151,5.84258133,,0.55636019,,34.4,1.338,0.005,,
Drought,DI,AD,5,5cm,10/19/10,5.48118176,24.211892,0.01955508,65.4742311,0.01266414,41.4,72.966,0.005,65.4937862,7.47221383
Drought,DI,AD,5,5cm,11/2/10,4.51805525,26.7660816,0.04548665,67.4740502,0.00937756,30.65,81.3,0.1715751,67.5195368,13.7804632
Drought,DI,AD,5,5cm,11/16/10,4.707191,27.3462593,0.0025,83.1850972,0.02221327,242.666861,129.54177,0.01643801,83.1875972,46.3541731
Drought,DI,AD,5,5cm,11/30/10,2.66230699,21.1651435,0.0025,57.6536045,0.0025,28.84,78.72,0.01131008,57.6561045,21.0638955
Flooded,DI,AF,1,15cm,8/24/10,2.93174356,18.4587997,0.317,0.08434769,0.0025,67.41,2.047616,0.07848876,0.40134769,1.64626831
Flooded,DI,AF,2,15cm,8/24/10,4.0482838,9.49596521,0.652,0.04502757,0.0025,52.7,2.029598,0.10307803,0.69702757,1.33257043
Flooded,DI,AF,3,15cm,8/24/10,4.9608725,18.6886843,0.587,0.06816692,0.00621696,74.88,2.597858,0.16390364,0.65516692,1.94269108
Flooded,DI,AF,4,15cm,8/24/10,6.22914469,27.51705,0.928,0.03229953,0.00702792,64.77,2.532023,0.11222395,0.96029953,1.57172347
Flooded,DI,AF,5,15cm,8/24/10,3.8620689,22.5567538,0.545,0.05162066,0.0095352,75.4,2.644982,0.09511965,0.59662066,2.04836134
Flooded,DI,AF,1,15cm,8/31/10,2.57775668,9.87138735,0.41017008,0.04509623,0.00501512,78.47,2.265218,0.113237,0.45526631,1.80995169
Flooded,DI,AF,2,15cm,8/31/10,4.3270949,2.32387133,0.92816447,0.01557087,0.0025,65.96,2.46203,0.14633291,0.94373534,1.51829466
Flooded,DI,AF,3,15cm,8/31/10,5.10268063,17.9224249,0.58540464,0.24534275,0.0025,64.03,2.680325,0.14519798,0.83074739,1.84957761
Flooded,DI,AF,4,15cm,8/31/10,6.58713492,18.0718288,1.56687776,0.01891944,0.0025,88.48,3.894461,0.21872905,1.58579719,2.30866381
Flooded,DI,AF,5,15cm,8/31/10,3.96517988,15.4452714,0.81574366,0.0172065,0.0025,88.46,3.186215,0.13456193,0.83295017,2.35326483
Flooded,DI,AF,1,15cm,9/7/10,3.56128575,8.6667528,0.43258602,0.14624576,0.0025,79.57,3.162,0.06492029,0.57883178,2.58316822
Flooded,DI,AF,2,15cm,9/7/10,4.75100025,1.92058619,1.063347,0.01015903,0.0025,68.08,3.59,0.12846599,1.07350603,2.51649397
Flooded,DI,AF,3,15cm,9/7/10,5.52620602,10.942487,0.901948,0.01878153,0.0025,81.14,3.551,0.15511089,0.92072953,2.63027047
Flooded,DI,AF,4,15cm,9/7/10,6.80901091,6.28696263,1.678668,0.01302536,0.0025,86.98,4.295,0.26395143,1.69169336,2.60330664
Flooded,DI,AF,5,15cm,9/7/10,4.54028785,5.94113705,1.01865,0.01385035,0.0025,960.3,40.37,0.12811901,1.03250035,39.3374997
Flooded,DI,AF,1,15cm,9/14/10,2.37223395,3.41020548,0.38441952,0.0772559,0.0025,82.13,2.395,0.1420001,0.46167542,1.93332458
Flooded,DI,AF,2,15cm,9/14/10,4.20418758,1.06522539,1.188492,0.01634759,0.0025,66.97,2.879,0.24069582,1.20483959,1.67416041
Flooded,DI,AF,3,15cm,9/14/10,6.49036388,6.75388321,1.200288,0.09960669,0.00502651,99.79,3.872,0.26994904,1.29989469,2.57210531
Flooded,DI,AF,4,15cm,9/14/10,6.00473888,2.14245582,1.8231,0.01847075,0.0025,87.04,4.329,0.43595048,1.84157075,2.48742925
Flooded,DI,AF,5,15cm,9/14/10,3.79910144,2.62648133,1.188492,0.01762404,0.0025,99.1,3.568,0.25690542,1.20611604,2.36188396
Flooded,DI,AF,1,15cm,9/21/10,1.55511309,1.85641967,0.25198675,0.07054926,0.0025,87.78665,2.75815,0.16422621,0.32253601,2.43561399
Flooded,DI,AF,2,15cm,9/21/10,4.25221805,0.79930652,1.17896817,0.01601253,0.02471092,49.34825,2.466472,0.50282792,1.19498069,1.27149131
Flooded,DI,AF,3,15cm,9/21/10,5.97240843,3.79092776,1.44011304,0.02855987,0.0025,85.2068,3.604522,0.30136794,1.46867292,2.13584908
Flooded,DI,AF,4,15cm,9/21/10,67.0389871,1.43109732,2.41685607,0.01667763,0.0025,80.402,4.49192,0.52704862,2.43353369,2.05838631
Flooded,DI,AF,5,15cm,9/21/10,4.30469731,2.47133755,1.31620783,0.02163122,0.00612732,85.54805,3.574174,0.20603941,1.33783905,2.23633495
Flooded,DI,AF,1,15cm,10/5/10,1.05448593,1.29253453,0.42336255,0.11693801,0.00615206,67.81,2.325,0.01305628,0.54030056,1.78469944
Flooded,DI,AF,2,15cm,10/5/10,31.0035384,0.68349549,2.4389871,0.00148701,0.0059147,48.14,3.719,0.2528232,2.44047411,1.27852589
Flooded,DI,AF,3,15cm,10/5/10,3.80337779,1.72197269,1.4912671,0.02670501,0.00887644,90.9,3.891,0.27444159,1.51797211,2.37302789
Flooded,DI,AF,4,15cm,10/5/10,5.12233521,0.59344176,2.53143987,0.00523802,0.01011076,134.01,6.2115,0.53644494,2.53667789,3.67482211
Flooded,DI,AF,5,15cm,10/5/10,3.9381682,0.61905564,1.451954,0.00194391,0.00834828,87.97,3.782,0.22247311,1.45389791,2.32810209
Flooded,DI,AF,1,15cm,10/19/10,2.30053949,1.14949078,0.44023788,0.0918059,0.00589644,53.74,2.006756,0.02979952,0.53204378,1.47471222
Flooded,DI,AF,2,15cm,10/19/10,23.8951958,0.05653936,2.3009316,0.00484676,0.00614351,48.67,3.844496,0.20200667,2.30577835,1.53871765
Flooded,DI,AF,3,15cm,10/19/10,4.21397687,0.42759951,1.83666259,0.00532665,0.0089091,93.92,4.27,0.28415288,1.84198924,2.42801076
Flooded,DI,AF,4,15cm,10/19/10,5.66462825,0.84269988,2.65267878,0.00679875,0.00701224,89.89,5.008,0.41184031,2.65947753,2.34852247
Flooded,DI,AF,5,15cm,10/19/10,3.90547733,0.14414964,1.85817741,0.0073316,0.00825556,93.14,4.471,0.20348471,1.86550901,2.60549099
Flooded,DI,AF,1,15cm,11/2/10,2.24170842,0.52919672,0.42693399,0.12729297,0.00552321,53.82,2.093,0.01809094,0.55422696,1.53877304
Flooded,DI,AF,1,15cm,11/2/10,156.819756,19.1841336,2.5789329,0.0005,0.0027828,83.24,4.588,0.26298348,2.5794329,2.0085671
Flooded,DI,AF,2,15cm,11/2/10,4.81038428,0.50698505,1.92253194,0.18424531,0.00645164,33.32,3.306,0.09061387,2.10677725,1.19922275
Flooded,DI,AF,3,15cm,11/2/10,3.01679388,0.12134342,2.28974262,0.0005,0.01301574,90.59,4.548,0.0427283,2.29024262,2.25775738
Flooded,DI,AF,5,15cm,11/2/10,1.38521081,8.27266497,0.39587601,3.59478905,0.00883354,32.66,5.179,0.005,3.99066506,1.18833494
Flooded,DI,AF,1,15cm,11/16/10,1.51211409,1.77884976,0.18805291,0.12599203,0.00386351,38.93862,1.625,0.03363656,0.31404494,1.31095506
Flooded,DI,AF,2,15cm,11/16/10,229.20402,8.83639832,5.09331287,0.0005,0.0031765,29.656698,7.2598911,0.85183342,5.09381287,2.16607823
Flooded,DI,AF,3,15cm,11/16/10,2.91745252,0.27793491,1.47603083,0.0468158,0.00383686,56.25522,2.873,0.31599403,1.52284663,1.35015337
Flooded,DI,AF,4,15cm,11/16/10,3.51972678,1.34304878,2.10968281,0.0016692,0.00597293,72.513198,4.6942153,0.3432478,2.11135201,2.58286329
Flooded,DI,AF,5,15cm,11/16/10,3.49611587,14.2914207,0.0025,24.4584424,0.00994204,55.688332,32.2796772,0.02576652,24.4609424,7.81873475
Flooded,DI,AF,1,15cm,11/30/10,1.17775552,1.25046917,0.1413217,0.20842691,0.0026518,43.95,1.947,0.005,0.34974861,1.59725139
Flooded,DI,AF,2,15cm,11/30/10,211.499595,2.19014049,5.48552908,0.0005,0.0025,19.88,5.075,0.61292546,5.48602908,-0.4110291
Flooded,DI,AF,3,15cm,11/30/10,4.01132081,0.22321913,2.2913804,0.0005,0.00252157,79.19,4.228,0.14647805,2.2918804,1.9361196
Flooded,DI,AF,4,15cm,11/30/10,2.37588532,6.3002217,1.68479271,1.58637061,0.00365863,24.01,4.075,0.03812011,3.27116332,0.80383668
Flooded,DI,AF,5,15cm,11/30/10,3.21997322,18.6545793,0.0265396,36.4016317,0.0025,18.4,47.28,0.03705312,36.4281713,10.8518287
Flooded,DI,AF,1,25cm,8/24/10,2.1379478,9.31756,0.316,0.10609302,0.0025,47.31,1.710125,0.07962516,0.42209302,1.28803198
Flooded,DI,AF,2,25cm,8/24/10,5.82407479,5.58295278,0.278,0.05498098,0.0025,41.87,1.3463,0.07865429,0.33298098,1.01331902
Flooded,DI,AF,3,25cm,8/24/10,3.61175747,9.62615119,0.369,0.05734835,0.0440568,59.97,2.202155,0.10195267,0.42634835,1.77580665
Flooded,DI,AF,4,25cm,8/24/10,4.98734685,13.3699266,0.234,0.04654727,0.005592,40.74,1.19384,0.09582141,0.28054727,0.91329273
Flooded,DI,AF,5,25cm,8/24/10,3.98597835,23.5279104,0.443,0.01823927,0.0101304,52.94,2.146022,0.0917827,0.46123927,1.68478273
Flooded,DI,AF,1,25cm,8/31/10,2.5904688,6.03618859,0.50245569,0.01459007,0.0025,51.23,1.640825,0.11402978,0.51704577,1.12377923
Flooded,DI,AF,2,25cm,8/31/10,7.11274234,2.1033092,0.33332593,0.03263458,0.0025,42.4,1.26314,0.10875213,0.36596051,0.89717949
Flooded,DI,AF,3,25cm,8/31/10,3.64850614,21.9607781,0.72132639,0.04524097,0.0025,36.51,1.567367,0.12521649,0.76656736,0.80079964
Flooded,DI,AF,4,25cm,8/31/10,5.19495368,5.11622569,0.48825624,0.01772413,0.0025,52.16,1.56113,0.15692547,0.50598038,1.05514962
Flooded,DI,AF,5,25cm,8/31/10,4.79237987,18.0717728,1.00965566,0.0129754,0.0025,63.41,2.904857,0.12672155,1.02263107,1.88222593
Flooded,DI,AF,1,25cm,9/7/10,3.96434694,3.77409341,0.29158362,0.01998185,0.0025,64.32,3.132,0.10079398,0.31156547,2.82043453
Flooded,DI,AF,2,25cm,9/7/10,7.82833481,1.5531207,1.034028,0.03088794,0.0025,41.44,1.93,0.06863115,1.06491594,0.86508406
Flooded,DI,AF,3,25cm,9/7/10,4.44657708,19.8663494,0.57405,0.01890873,0.0025,43.96,2.549,0.12972644,0.59295873,1.95604127
Flooded,DI,AF,4,25cm,9/7/10,5.28948217,2.39603233,1.127052,0.01483753,0.0025,270.45,14.125,0.12768582,1.14188953,12.9831105
Flooded,DI,AF,5,25cm,9/7/10,5.07575195,8.8701408,0.580732,0.00975168,0.0025,69.46,3.747,0.11093344,0.59048368,3.15651632
Flooded,DI,AF,1,25cm,9/14/10,2.52439847,1.61145024,0.30033078,0.01501748,0.0025,44.69,1.762,0.13353659,0.31534826,1.44665174
Flooded,DI,AF,2,25cm,9/14/10,7.39355425,1.20367801,1.313148,0.04524322,0.0025,41.02,1.26,0.1360252,1.35839122,-0.0983912
Flooded,DI,AF,3,25cm,9/14/10,4.77549333,12.7756014,0.575268,0.01438236,0.0025,60.88,2.802,0.21836329,0.58965036,2.21234964
Flooded,DI,AF,4,25cm,9/14/10,4.42609479,1.35403358,1.229848,0.03821844,0.0025,57.71,2.172,0.21053736,1.26806644,0.90393356
Flooded,DI,AF,5,25cm,9/14/10,4.1930231,3.73718159,0.47481378,0.01349938,0.0025,74.2,3.337,0.17004013,0.48831315,2.84868685
Flooded,DI,AF,1,25cm,9/21/10,1.599606,0.99213051,1.16658571,0.01605515,0.0025,61.292,2.434438,0.14766778,1.18264086,1.25179714
Flooded,DI,AF,2,25cm,9/21/10,7.23247295,0.93823099,1.57765294,0.03107478,0.0025,38.34635,1.67911,0.15674144,1.60872772,0.07038228
Flooded,DI,AF,3,25cm,9/21/10,5.38256255,5.63144497,0.60299076,0.01585461,0.0025,68.936,3.4185,0.27417857,0.61884537,2.79965463
Flooded,DI,AF,4,25cm,9/21/10,3.80352,1.05022469,1.39202857,0.04900431,0.0025,51.01355,2.041038,0.18729953,1.44103288,0.60000512
Flooded,DI,AF,5,25cm,9/21/10,3.94025761,3.03218716,0.65265419,0.01768325,0.00724225,71.02445,3.447724,0.19818453,0.67033744,2.77738656
Flooded,DI,AF,1,25cm,10/5/10,1.21465662,1.26768562,0.37308024,0.00976936,0.00305048,44.36,1.86,0.03018195,0.3828496,1.4771504
Flooded,DI,AF,2,25cm,10/5/10,8.29103795,0.81338479,1.70228335,0.01310533,0.00870954,37.52,3.175,0.04120348,1.71538868,1.45961132
Flooded,DI,AF,3,25cm,10/5/10,4.31291402,1.05845246,0.59672071,0.00315567,0.00494396,77.05,3.55,0.31426798,0.59987638,2.95012362
Flooded,DI,AF,4,25cm,10/5/10,3.33312327,0.87466388,1.590728,0.04530039,0.00881227,55.11,2.113,0.11530612,1.63602839,0.47697161
Flooded,DI,AF,5,25cm,10/5/10,3.79606875,0.72631679,0.56459871,0.00592909,0.00482846,84.23,4.097,0.18779554,0.5705278,3.5264722
Flooded,DI,AF,1,25cm,10/19/10,2.54302033,1.48494664,0.40024163,0.00742179,0.00427853,26.03,1.546478,0.04082002,0.40766341,1.13881459
Flooded,DI,AF,2,25cm,10/19/10,9.71085453,0.6831251,1.91396734,0.04435017,0.00858233,35.3,1.586,0.05375192,1.95831751,-0.3723175
Flooded,DI,AF,3,25cm,10/19/10,4.06433946,0.26105128,0.79700475,0.00302527,0.00613554,71.4,3.931,0.23860147,0.80003002,3.13096998
Flooded,DI,AF,4,25cm,10/19/10,3.53763545,1.39181437,2.06354928,0.03102958,0.0081918,61.09,2.349,0.14651201,2.09457886,0.25442114
Flooded,DI,AF,5,25cm,10/19/10,3.34061866,0.18888982,0.42818474,0.00166616,0.77274,83.22,4.397,0.17278721,0.4298509,3.9671491
